year born, year died, age
1920,2008,88
1890,1971,81
1926,1940,14
1917,1996,79
1889,1961,72
1883,1980,97
1894,1956,62
1887,1967,80
1917,2004,87
1884,1933,49
1883,1966,83
1920,2010,90
1881,1971,90
1877,1950,73
1916,1991,75
1864,1935,71
1888,1933,45
1919,2010,91
1918,2016,98
2014,2014,0
1917,1988,71
1920,2008,88
1883,1956,73
1931,2024,93
1868,1951,83
1884,1911,27
1898,1969,71
1907,1907,0
1872,1949,77
1875,1964,89
1929,2020,91
1880,1965,85
1928,2015,87
1936,2021,85
1990,1992,2
1980,1980,0
1980,1980,0
1866,1945,79
1855,1919,64
1885,1961,76
1882,1967,85
1899,1930,31
1938,2005,67
1870,1913,43
1921,1946,25
1919,1990,71
1954,1996,42
1907,1986,79
1960,1960,0
1867,1920,53
1947,1947,0
1895,1957,62
1908,1922,14
1929,2006,77
1903,1984,81
1955,1955,0
1840,1915,75
1849,1929,80
1874,1932,58
1864,1948,84
1904,1996,92
1902,1957,55
1957,1957,0
1917,1957,40
1917,1950,33
1931,2021,90
1938,1963,25
1876,1956,80
1872,1967,95
1882,1974,92
1903,1925,22
1873,1934,61
1867,1941,74
1885,1941,56
1841,1917,76
1880,1950,70
1894,1975,81
1966,2014,48
1878,1942,64
1898,1983,85
1841,1916,75
1890,1920,30
1904,1965,61
1906,1971,65
1913,1998,85
1927,1927,0
1900,1989,89
1897,1969,72
2002,2002,0
1871,1936,65
1927,2013,86
1877,1960,83
1886,1964,78
1879,1950,71
1928,2007,79
1943,2003,60
1916,2007,91
1902,1973,71
1904,1904,0
1914,1989,75
1853,1919,66
1896,1918,22
1889,1971,82
1883,1969,86
1880,1917,37
1912,2015,103
1892,1967,75
1948,1969,21
1877,1944,67
1884,1955,71
1943,1971,28
1863,1950,87
1921,2003,82
1897,1921,24
1903,1988,85
1870,1951,81
1923,2016,93
1928,1991,63
1931,2022,91
1931,2000,69
1928,1979,51
1959,1959,0
1902,1981,79
1903,1971,68
1952,1952,0
1878,1947,69
1910,1977,67
1889,1962,73
1881,1961,80
1912,1984,72
1905,1979,74
1967,2018,51
1922,2011,89
1919,2006,87
1931,2014,83
1926,1976,50
1886,1905,19
1861,1914,53
1899,1991,92
1895,1965,70
1919,2000,81
1868,1951,83
1864,1925,61
1914,1994,80
1915,2008,93
1882,1962,80
1905,1905,0
1957,2001,44
1957,1994,37
1920,1920,0
1937,1990,53
1912,1997,85
1912,1972,60
1959,1959,0
1906,2006,100
1903,1970,67
1887,1888,1
1890,1919,29
1857,1921,64
1861,1896,35
1913,1999,86
1888,1913,25
1861,1939,78
1910,2007,97
1912,1999,87
1908,1985,77
1874,1949,75
1909,1970,61
1885,1974,89
1932,1969,37
1965,2018,53
1905,1986,81
1884,1955,71
1907,1994,87
1880,1944,64
1913,2010,97
1888,1948,60
1946,1946,0
1940,2014,74
1860,1946,86
1860,1946,86
1934,1991,57
1950,1955,5
1894,1973,79
1920,1969,49
1890,1972,82
1895,1897,2
1892,1985,93
1896,1980,84
1862,1946,84
1926,1928,2
1934,1998,64
1919,1919,0
1942,2017,75
1896,1976,80
1881,1947,66
1898,1899,1
1999,1999,0
1921,2015,94
1921,2005,84
1900,1988,88
1906,1993,87
1856,1925,69
1858,1934,76
1940,2023,83
1919,1993,74
1897,1988,91
1918,2008,90
1896,1984,88
1933,2020,87
1937,1993,56
1861,1946,85
1894,1972,78
1861,1941,80
1912,1992,80
1911,1989,78
1905,1979,74
1949,1949,0
1887,1951,64
1903,1995,92
1836,1931,95
1883,1983,100
1915,1971,56
1880,1962,82
1909,1978,69
1965,1987,22
1904,1991,87
1889,1971,82
1887,1952,65
1878,1946,68
1910,1960,50
1938,2019,81
1939,2001,62
1915,1994,79
